지역명,주택정보,주택형,공급호수(당첨자),모집인원(예비자),신청건수,주소,위도,경도,서대문역 5번출구 직선거리(km),당첨 경쟁률,예비 포함 경쟁률,당첨확률(단순),예비포함 가능권(단순)
서울특별시 강서구,강서방화동(마곡노블리안),70~80㎡,1,4,"2,290","서울특별시 강서구 방화대로40길 37(방화동,마곡노블리안)",37.5713,126.8190056,13.03,"2,290.00:1",458.00:1,0.04%,0.22%
서울특별시 동작구,동작상도1동(늘그린이엔씨),60~70㎡,1,4,"1,998",서울특별시 동작구 상도로41다길 2(상도1동),37.5023881,126.9503347,7.19,"1,998.00:1",399.60:1,0.05%,0.25%
서울특별시 서초구,서초양재동(집앤사수피아),70~80㎡,1,4,"1,678",서울특별시 서초구 강남대로8길 16-10(양재동) 집앤사 수피아,37.4678124,127.04204555000001,12.76,"1,678.00:1",335.60:1,0.06%,0.30%
서울특별시 서초구,서초양재동(집앤사수피아),60~70㎡,1,4,"1,554",서울특별시 서초구 강남대로8길 16-10(양재동) 집앤사 수피아,37.4678124,127.04204555000001,12.76,"1,554.00:1",310.80:1,0.06%,0.32%
서울특별시 강동구,강동천호동(시온그린빌),70~80㎡,1,4,843,"서울특별시 강동구 상암로 72-10(천호동,시온그린빌) 시온그린빌",37.5481372,127.1308779,14.61,843.00:1,168.60:1,0.12%,0.59%
서울특별시 강동구,강동둔촌동(은슬림둔촌),60~70㎡,1,4,816,"서울특별시 강동구 명일로10가길 10(둔촌동,은슬림 둔촌)",37.5320711,127.1448729,16.15,816.00:1,163.20:1,0.12%,0.61%
서울특별시 강동구,강동둔촌동(은슬림둔촌),70~80㎡,1,4,811,"서울특별시 강동구 명일로10가길 10(둔촌동,은슬림 둔촌)",37.5320711,127.1448729,16.15,811.00:1,162.20:1,0.12%,0.62%
서울특별시 영등포구,영등포대림동(브라이튼디엘),60~70㎡,1,4,731,서울특별시 영등포구 대림로 235(대림동) 브라이튼디엘,37.5015216,126.8966914,9.44,731.00:1,146.20:1,0.14%,0.68%
서울특별시 송파구,송파오금동(JK HOUSE),60~70㎡,3,12,"1,867",서울특별시 송파구 마천로 200(오금동) JK HOUSE A동,37.5018652,127.1406795,16.91,622.33:1,124.47:1,0.16%,0.80%
서울특별시 영등포구,영등포대림동(삼화에코빌1차),60~70㎡,1,4,571,서울특별시 영등포구 대림로 181(대림동) 삼화에코빌1차,37.4970819,126.8986101,9.71,571.00:1,114.20:1,0.18%,0.88%
서울특별시 은평구,은평역촌동(예그리나8차),60~70㎡,1,4,469,"서울특별시 은평구 역말로 92(역촌동,예그리나8차)",37.6075694,126.9199515,6.21,469.00:1,93.80:1,0.21%,1.07%
서울특별시 중랑구,중랑상봉동(현대캐슬),70~80㎡,1,4,454,"서울특별시 중랑구 면목로91길 27(상봉동,현대캐슬) 현대캐슬",37.5940462,127.0845032,10.85,454.00:1,90.80:1,0.22%,1.10%
서울특별시 강서구,강서화곡동(광진에버빌),60~70㎡,2,8,872,"서울특별시 강서구 화곡로13길 98-18(화곡동,광진에버빌)",37.5442215,126.8339179,11.94,436.00:1,87.20:1,0.23%,1.15%
서울특별시 은평구,은평신사동(승윤노블리안),70~80㎡,2,8,803,"서울특별시 은평구 은평로 11-1(신사동,승윤노블리안) 승윤노블리안",37.597338,126.9092521,6.16,401.50:1,80.30:1,0.25%,1.25%
